Density,,Velocity,,Specific Internal Energy,,Pressure,
x,y,x,y,x,y,x,y
0,1,0,0,0,2.5,0,1.00E+00
0.106806561,1,0.11183355,0,0.111692408,2.5,0.115803994,1.00E+00
0.21275565,0.644314749,0.248374512,0.563036891,0.264507262,1.932126513,0.175229995,0.687612208
0.331905728,0.400906147,0.422626788,1.125643309,0.422907331,1.49007055,0.267225553,3.99E-01
0.420189053,0.276695386,0.514954486,0.935056083,0.506947755,1.583168081,0.345728225,2.59E-01
0.521596037,0.322864733,0.642392718,0.813641925,0.623575889,1.629920631,0.424428689,0.165170557
0.620362368,0.346883074,0.737321196,0.762971552,0.623575889,2.632356516,0.526298573,0.206463196
0.620362368,0.21400888,0.815344603,0.727964793,0.820194569,2.632356516,0.661998296,0.231597846
0.815447706,0.227964991,0.815344603,0,0.820194569,2,0.81738835,0.236983842
0.815447706,0.122341151,1,0,1,2,0.81738835,0.102333932
1,0.119252429,,,,,1,0.102333932
